taxon,max,min
Mesoplodon longirostris,5.333,1.806
Balaenotus insignis,5.333,1.806
Choneziphius leidyi,6.1,4.4
Globicetus hiberus,6.1,4.4
Imocetus piscatus,7.246,3.6
Beneziphius cetariensis,7.246,3.6
Pliopontos littoralis,7.246,3.6
Herpetocetus bramblei,7.246,3.6
Mystacodon selenensis,38,33.9
Llanocetus denticrenatus,38,33.9
Basilosaurus cetoides,38,33.9
Basilosaurus isis,38,33.9
Cynthiacetus peruvianus,38,33.9
Pachycetus_paulsonii,38,33.9
Dorudon serratus,38,33.9
Chrysocetus healyorum,38,33.9
Stromerius nidensis,38,33.9
Masracetus markgrafi,38,33.9
Zygorhiza kochii,38,33.9
Ancalecetus simonsi,38,33.9
Saghacetus osiris,38,33.9
Archaeoziphius microglenoideus,15,13.2
Aporotus recurvirostris,15.97,11.62
Zarhachis crassangulum,15.97,11.62
Schizodelphis morckhoviensis,15.97,11.62
Zarhinocetus errabundus,15.97,11.62
Liolithax kernensis,15.97,11.62
Squalodon protervus,15.97,11.62
Taikicetus inouei,15.97,11.62
Aglaocetus latifrons,15.97,11.62
Aglaocetus longifrons,15.97,11.62
Parietobalaena laxata,15.97,11.62
Pachyacanthus suessii,15.97,11.608
Eodelphinus kabatensis,11.62,7.246
Cetorhynchus atavus,11.62,7.246
Messapicetus gregarius,9.1,8.5
Dagonodum mojnum,11.62,7.246
Notoziphius bruneti,11.62,7.246
Nanokogia isthmia,11.62,7.246
Koristocetus pescei,11.62,7.246
Scaphokogia cochlearis,11.62,7.246
Aulophyseter mediatlanticus,11.62,7.246
Livyatan melvillei,11.62,7.246
Zygophyseter varolai,11.62,7.246
Piscolithax aenigmaticus,11.62,7.246
Australithax intermedia,11.62,7.246
Lomacetus ginsburgi,11.62,7.246
Pterophocaena nishinoi,11.62,7.246
Zarhachis tysonii,11.62,7.246
Parapontoporia wilsoni,11.62,7.246
Lophocetus repenningi,11.62,7.246
Lophocetus calvertensis,11.62,7.246
Graamocetus longicollis,11.62,7.246
Heterodelphis klinderi,11.62,7.246
Saurocetes argentinus,11.62,7.246
Atocetus nasalis,11.62,7.246
Stenasodelphis russellae,11.62,7.246
Protophocaena minima,11.62,7.246
Ischyrorhynchus vanbenedeni,11.62,7.246
Plesiocetus giganteus,11.62,7.246
Plesiocetus intermedius,11.62,7.246
Plesiocetus minor,11.62,7.246
Plesiocetus rostratus,11.62,7.246
Plesiocetus tertius,11.62,7.246
Archaeschrichtius ruggieroi,11.62,7.246
Plesiobalaenoptera quarantellii,11.62,7.246
Incakujira anillodefuego,11.62,7.246
Cetotherium rathkii,11.62,7.246
Cetotherium riabinini,11.62,7.246
Heterocetus scriptus,11.62,7.246
Metopocetus hunteri,11.62,7.246
Mithridatocetus adygeicus,11.62,7.246
Mithridatocetus eichwaldi,11.62,7.246
Miocaperea pulchra,11.62,7.246
Uranocetus gramensis,11.62,7.246
Aglaocetus burtinii,11.62,7.246
Aglaocetus rotundus,11.62,7.246
Amphicetus later,11.62,7.246
Joumocetus shimizui,11.62,7.246
Herentalia nigra,11.62,7.246
Tranatocetus argillarius,11.62,7.246
Mixocetus elysius,11.62,7.246
Imerocetus karaganicus,11.62,7.246
Cephalotropis coronatus,11.7,8.5
Scaldicetus perpinguis,20.44,15.97
Idiorophus patagonicus,20.44,15.97
Medocinia tetragorhina,20.44,15.97
Huaridelphis raimondii,20.44,15.97
Macrosqualodelphis ukupachai,18.86,18.7
Schizodelphis planus,20.44,15.97
Schizodelphis squalodontoides,20.44,15.97
Ninjadelphis ujiharai,20.44,15.97
Eoplatanista taurinensis,20.44,15.97
Phoberodon arctirostris,20.44,15.97
Aondelphis talen,20.44,15.97
Dilophodelphis fordycei,20.44,15.97
Araeodelphis natator,20.44,15.97
Argyrocetus patagonicus,20.44,15.97
Chilcacetus cavirhinus,20.44,15.97
Squalodon vocontiorum,20.44,15.97
Squalodon whitmorei,20.44,15.97
Squalodon molassicus,20.44,15.97
Inticetus vertizi,20.44,15.97
Squalodon meyeri,20.44,15.97
Squalodon servatus,20.44,15.97
Squalodon bordae,20.44,15.97
Phococetus vasconum,20.44,15.97
Plesiocetus dyticus,20.44,15.97
Cetotherium furlongi,20.44,15.97
Mesocetus aquitanicus,20.44,15.97
Isanacetus laticephalus,20.44,15.97
Diorocetus shobarensis,20.44,15.97
Aglaocetus moreni,20.44,15.97
