taxon,max,min,range
Chonecetus sookensis,24.8,24.1,0.7
Platanistinae_indet_MUSM_1611,13.2,12.5,0.7
Idiocetus guicciardinii,3.2,2.588,0.612
Balaena montalionis,4.5,3.9,0.6
Aglaocetus patulus,14.5,13.9,0.6
Balaenella brachyrhynus,5.0,4.4,0.6
Diorocetus hiatus,14.5,13.9,0.6
Diunatans luctoretemergo,5,4.4,0.6
Archaebalaenoptera castriarquati,3.6,3.1,0.5
Balaena ricei,4.9,4.4,0.5
Herpetocetus transatlanticus,4.9,4.4,0.5
Tursiops_astensis,3.5,3,0.5
Eubalaena ianitrix,3.2,2.8,0.4
Beneziphius_brevirostris,13.2,12.8,0.4
Joumocetus shimizui,11.3,11.0,0.3
Megaptera_miocaena,7.6,7.3,0.3
Tusciziphius crispus,4.12,3.84,0.28
Brachydelphis jahuayensis,9.63,9.38,0.25
Nazcacetus urbinai,7.55,7.3,0.25
Chavinziphius maxillocristatus,6.93,6.71,0.22
Llanocetus denticrenatus,34.2,34,0.2
Acrophyseter_sp_MUSM_2182,6.9,6.7,0.2
Miocaperea pulchra,7.5,7.3,0.2
Eubalaena shinshuensis,6.1,5.9,0.2
Eschrichtius_akishimaensis,1.95,1.77,0.18
Macrosqualodelphis ukupachai,18.86,18.7,0.16
Aetiocetus weltoni,28.1,28,0.1
Australithax intermedia,9.1,9,0.1
Thinocetus arthritus,13.5,13.4,0.1
Waharoa ruwhenua,25.4,25.3,0.1
Balaena mysticetus,0,0,0
Balaenoptera acutorostrata,0,0,0
Balaenoptera bonaerensis,0,0,0
Balaenoptera borealis,0,0,0
Balaenoptera edeni,0,0,0
Balaenoptera musculus,0,0,0
Balaenoptera omurai,0,0,0
Balaenoptera physalus,0,0,0
Balaenoptera_brevicauda,,,
Balaenoptera_brydei,0,0,0
Balaenoptera_fasciata,,,
Basilosaurus_puschi,,,
Berardius arnuxii,0,0,0
Berardius bairdii,0,0,0
Caperea marginata,0,0,0
Cephalorhynchus commersoni,0,0,0
Cephalorhynchus eutropia,0,0,0
Cephalorhynchus heavisidii,0,0,0
Cephalorhynchus_hectori,0,0,0
Cetotherium_crassangulum,33,2.58,2.75
Delphinapterus leucas,0,0,0
Delphinus delphis,0,0,0
Delphinus_capensis,0,0,0
Delphinus_dewaeli,,,
Delphinus_feres,,,
Delphinus_tropicalis,0,0,0
Delphinus_wasii,,,
Eschrichtius robustus,0,0,0
Eubalaena australis,0,0,0
Eubalaena glacialis,0,0,0
Eubalaena japonica,0,0,0
Eudelphinus_compressus,,,
Feresa attenuata,0,0,0
Globicephala macrorhynchus,0,0,0
Globicephala melas,0,0,0
Globicephalus_karsteni,,,
Grampus griseus,0,0,0
Herpetocetus_sp_USNM_182962,,,
Heterocetus_major,5.33,2.588,2.742
Hyperoodon ampullatus,0,0,0
Hyperoodon planifrons,0,0,0
Indopacetus pacificus,0,0,0
Inia araguaiaensis,0,0,0
Inia geoffrensis,0,0,0
Kogia breviceps,0,0,0
Kogia sima,0,0,0
Lagenodelphis hosei,0,0,0
Lagenorhynchus albirostris,0,0,0
Sagmatias obliquidens,0,0,0
Leucopleurus acutus,0,0,0
Lipotes vexillifer,0,0,0
Lissodelphis borealis,0,0,0
Lissodelphis peronii,0,0,0
Macrodelphinus_valenciennesii,,,
Megaptera novaeangliae,0,0,0
Megaptera_brachychira,,,
Megaptera_mysticetoides,,,
Mesoplodon bidens,0,0,0
Mesoplodon bowdoini,0,0,0
Mesoplodon carlhubbsi,0,0,0
Mesoplodon densirostris,0,0,0
Mesoplodon ginkgodens,0,0,0
Mesoplodon grayi,0,0,0
Mesoplodon hectori,0,0,0
Mesoplodon layardii,0,0,0
Mesoplodon mirus,0,0,0
Mesoplodon perrini,0,0,0
Mesoplodon peruvianus,0,0,0
Mesoplodon stejnegeri,0,0,0
Mesoplodon_bononiensis,,,
Mesoplodon_europaeus,0,0,0
Mesoplodon_hotaula,0,0,0
Mesoplodon_traversii,0,0,0
Monodon monoceros,0,0,0
Neophocaena phocaenoides,0,0,0
Orcaella brevirostris,0,0,0
Orcaella heinsohni,0,0,0
Orcinus orca,0,0,0
Orcinus_meyeri,,,
Peponocephala electra,0,0,0
Phocoena dioptrica,0,0,0
Phocoena phocoena,0,0,0
Phocoena sinus,0,0,0
Phocoena spinipinnis,0,0,0
Phocoenoides dalli,0,0,0
Physalus_patachonicus,,,
Physeter macrocephalus,0,0,0
Platanista gangetica,0,0,0
Pontobasileus_tuberculatus,,,
Pontoporia blainvillii,0,0,0
Pseudorca crassidens,0,0,0
Rodhocetus kasranii,46.5,46.5,0.0
Sagmatias australis,0,0,0
Sagmatias cruciger,0,0,0
Sagmatias_obscurus,0,0,0
Sotalia fluviatilis,0,0,0
Sotalia_guianensis,0,0,0
Sotalia_maculiventer,,,
Sousa chinensis,0,0,0
Sousa plumbea,0,0,0
Sousa sahulensis,0,0,0
Sousa teuszii,0,0,0
Squalodelphinidae_indet_MUSM_603,,,
Squalodelphinidae_indet_USNM_475496,,,
Squalodon_rugidens,,,
Squalodontidae_indet_ChM_PV_4991,,,
Stenella attenuata,0,0,0
Stenella coeruleoalba,0,0,0
Stenella frontalis,0,0,0
Stenella longirostris,0,0,0
Stenella_clymene,0,0,0
Stenella_dubia,0,0,0
Steno bredanensis,0,0,0
Stereodelphis_brevidens,,,
Tasmacetus shepherdi,0,0,0
Tursiops aduncus,0,0,0
Tursiops truncatus,0,0,0
Tursiops_australis,0,0,0
Tursiops_erebennus,,,
Tursiops_subridens,,,
Xenorophidae_indet_GSM_1098,,,
Ziphius cavirostris,0,0,0
Cetotherium parvum,15.97,13.82,2.15
cf_Cynthiacetus_sp_CCNHM_167,,,
Archaebalaenoptera_liesselensis,8.1,7.5,0.6
Balaenopteridae_indet_EGAPA_dash_MPTAM_207_dot_13307,3.6,2.588,1.012
Balaenopteridae_indet_IPMM_40063,5.333,3.6,1.733
Balaenopteridae_indet_NMR_999100007096,3.6,2.588,1.012
Balaenopteridae_indet_RBINS_M_dot_2231,5.333,3.6,1.733
Balaenopteridae_indet_RBINS_M_dot_2315,5.333,3.6,1.733
Balaenopteridae_indet_SAM_PQL_dash_55001,11.63,5.33,6.30
Balaenopteridae_indet_UT_PU13842_slash_5,5.333,3.6,1.733
Borealodon_osedax,30.6,28.3,2.3
Casatia_thermophila,5.08,4.52,0.56
Ediscetus_osbornei,28.75,28.43,0.32
Eubalaena_sp_MASCC_Unreferred,3.5,3.3,0.2
Haborodelphis_japonicus,5.33,3.6,1.73
Maiabalaena_nesbittae,33.7,30.6,3.1
Miobalaenoptera_numataensis,6.8,6.5,0.3
Monodontidae_indet_IRSNB_M_1922,5.333,3.6,1.733
Nehalaennia_devossi,8.7,8.1,0.6
Niparajacetus_palmadentis,28.1,23.03,5.07
Norrisanima_miocaena,7.6,7.3,0.3
Odontoceti_indet_CCNHM_1000,30.5,26.5,4.0
Orycterocetus_sp_MAUL_29_slash_1,18,6,12
Peregocetus_pacificus,47.8,41.3,6.5
Pliokogia_apenninica,5.08,5.04,0.04
Squalodon_sp_OU_21819,,,
Squalodontidae_indet_OU_21798,27.82,23.03,4.79
Tupelocetus_palmeri,41.3,38,3.3
Yaquinacetus_meadi,24,19.2,4.8
Kentriodon_nakajimai,11.87,11.25,0.62
Herpetocetus_sp_NMNS_PV19540_et_USNM_362901,5.333,3.6,1.733
Tranatocetus_maregermanicum,8.1,7.5,0.6
Balaenopteridae_indet_aka_portisi_MRSN_PU13808_et_MGPT_13803_et_MCZ_17882_et_SDSNH_21507_et_65769_et_68698,3.6,2.588,1.012
Kwanzacetus_khoisani,11.62,5.33,6.29
Lissodelphis_nordmanni,12.7,11.608,1.092
Sulaimanitherium_dhanotri,41.3,38,3.3
