"Character" "Weight"
"Bianucci_etal_2020a" 444 1
"Bianucci_etal_2020a" 445 1
"Bianucci_etal_2020a" 446 1
"Bianucci_etal_2020a" 447 1
"Bianucci_etal_2020a" 448 1
"Bianucci_etal_2020a" 449 1
"Bianucci_etal_2020a" 450 1
"Bianucci_etal_2020a" 451 1
"Bianucci_etal_2020a" 452 1
"Bianucci_etal_2020a" 453 1
"Bianucci_etal_2020a" 454 1
"Bisconti_2008a" 455 1
"Bisconti_2008a" 456 1
"Bisconti_2008a" 457 1
"Bisconti_2008a" 458 1
"Bisconti_2008a" 459 1
"Bisconti_2008a" 460 1
"Bisconti_2008a" 461 1
"Bisconti_2008a" 462 1
"Bisconti_2008a" 463 1
"Bisconti_2008a" 464 1
"Bisconti_2008a" 465 1
"Bisconti_2008a" 466 1
"Bisconti_2008a" 467 1
"Bisconti_2008a" 468 1
"Bisconti_2008a" 469 1
"Bisconti_2008a" 470 1
"Bisconti_2008a" 471 1
"Bisconti_2008a" 472 1
"Bisconti_2008a" 473 1
"Bisconti_2008a" 474 1
"Bisconti_2008a" 475 1
"Bisconti_2008a" 476 1
"Bisconti_2008a" 477 1
"Bisconti_2008a" 478 1
"Bisconti_2008a" 479 1
"Bisconti_2008a" 480 1
"Bisconti_2008a" 481 1
"Bisconti_2008a" 482 1
"Bisconti_2008a" 483 1
"Bisconti_2008a" 484 1
"Bisconti_2008a" 485 1
"Bisconti_2008a" 486 1
"Bisconti_2008a" 487 1
"Bisconti_2008a" 488 1
"Bisconti_2008a" 489 1
"Bisconti_2010a" 490 1
"Bisconti_2010a" 491 1
"Bisconti_2010a" 492 1
"Bisconti_2010a" 493 1
"Bisconti_2010a" 494 1
"Bisconti_2010a" 495 1
"Bisconti_2010a" 496 1
"Bisconti_2010a" 497 1
"Bisconti_2010a" 498 1
"Bisconti_2010a" 499 1
"Bisconti_2010a" 500 1
"Bisconti_2010a" 501 1
"Bisconti_2010a" 502 1
"Bisconti_2010a" 503 1
"Bisconti_2010a" 504 1
"Bisconti_2010a" 505 1
"Bisconti_2010a" 506 1
"Bisconti_2010a" 507 1
"Bisconti_2010a" 508 1
"Bisconti_2010a" 509 1
"Bisconti_2010a" 510 1
"Bisconti_2010a" 511 1
"Bisconti_2010a" 512 1
"Bisconti_2010a" 513 1
"Bisconti_2010a" 514 1
"Bisconti_2010a" 515 1
"Bisconti_2010a" 516 1
"Bisconti_2010a" 517 1
"Bisconti_2010a" 518 1
"Bisconti_2010a" 519 1
"Bisconti_2010a" 520 1
"Bisconti_2010a" 521 1
"Bisconti_2010a" 522 1
"Bisconti_2010a" 523 1
"Bisconti_2010a" 524 1
"Bisconti_2010a" 525 1
"Bisconti_2010a" 526 1
"Bisconti_2010a" 527 1
"Bisconti_2010a" 528 1
"Bisconti_2010a" 529 1
"Bisconti_2010a" 530 1
"Bisconti_2010a" 531 1
"Bisconti_2010a" 532 1
"Bisconti_2010a" 533 1
"Bisconti_2010a" 534 1
"Bisconti_2010a" 535 1
"Bisconti_2010a" 536 1
"Bisconti_2010a" 537 1
"Bisconti_2010a" 538 1
"Bisconti_2010a" 539 1
"Bisconti_2015a" 540 1
"Bisconti_2015a" 541 1
"Bisconti_2015a" 542 1
"Bisconti_2015a" 543 1
"Bisconti_2015a" 544 1
"Bisconti_2015a" 545 1
"Bisconti_2015a" 546 1
"Bisconti_2015a" 547 1
"Bisconti_2015a" 548 1
"Bisconti_2015a" 549 1
"Bisconti_2015a" 550 1
"Bisconti_2015a" 551 1
"Bisconti_2015a" 552 1
"Bisconti_2015a" 553 1
"Bisconti_2015a" 554 1
"Bisconti_2015a" 555 1
"Bisconti_2015a" 556 1
"Bisconti_2015a" 557 1
"Bisconti_2015a" 558 1
"Bisconti_2015a" 559 1
"Bisconti_2015a" 560 1
"Bisconti_2015a" 561 1
"Bisconti_2015a" 562 1
"Bisconti_2015a" 563 1
"Bisconti_2015a" 564 1
"Bisconti_2015a" 565 1
"Bisconti_2015a" 566 1
"Bisconti_2015a" 567 1
"Bisconti_2015a" 568 1
"Bisconti_2015a" 569 1
"Bisconti_2015a" 570 1
"Bisconti_2015a" 571 1
"Bisconti_2015a" 572 1
"Bisconti_2015a" 573 1
"Bisconti_2015a" 574 1
"Bisconti_2015a" 575 1
"Bisconti_2015a" 576 1
"Bisconti_2015a" 577 1
"Bisconti_2015a" 578 1
"Bisconti_2015a" 579 1
"Bisconti_2015a" 580 1
"Bisconti_2015a" 581 1
"Bisconti_2015a" 582 1
"Bisconti_2015a" 583 1
"Bisconti_2015a" 584 1
"Bisconti_2015a" 585 1
"Bisconti_2015a" 586 1
"Bisconti_2015a" 587 1
"Bisconti_2015a" 588 1
"Bisconti_2015a" 589 1
"Bisconti_2015a" 590 1
"Bisconti_2015a" 591 1
"Bisconti_2015a" 592 1
"Bisconti_2015a" 593 1
"Bisconti_2015a" 594 1
"Bisconti_2015a" 595 1
"Bisconti_2015a" 596 1
"Bisconti_2015a" 597 1
"Bisconti_2015a" 598 1
"Bisconti_2015a" 599 1
"Bisconti_2015a" 600 1
"Bisconti_2015a" 601 1
"Bisconti_2015a" 602 1
"Bisconti_2015a" 603 1
"Bisconti_2015a" 604 1
"Bisconti_2015a" 605 1
"Bisconti_2015a" 606 1
"Bisconti_2015a" 607 1
"Bisconti_2015a" 608 1
"Bisconti_2015a" 609 1
"Bisconti_2015a" 610 1
"Bisconti_et_Bosselaers_2016a" 611 1
"Bisconti_et_Bosselaers_2016a" 612 1
"Bisconti_et_Bosselaers_2016a" 613 1
"Bisconti_et_Bosselaers_2016a" 614 1
"Bisconti_et_Bosselaers_2016a" 615 1
"Bisconti_et_Bosselaers_2016a" 616 1
"Bisconti_et_Bosselaers_2016a" 617 1
"Bisconti_et_Bosselaers_2016a" 618 1
"Bisconti_et_Bosselaers_2016a" 619 1
"Bisconti_et_Bosselaers_2016a" 620 1
"Bisconti_et_Bosselaers_2016a" 621 1
"Bisconti_et_Bosselaers_2016a" 622 1
"Bisconti_et_Bosselaers_2016a" 623 1
"Bisconti_et_Bosselaers_2016a" 624 1
"Bisconti_et_Bosselaers_2016a" 625 1
"Bisconti_et_Bosselaers_2016a" 626 1
"Bisconti_et_Bosselaers_2016a" 627 1
"Bisconti_et_Bosselaers_2016a" 628 1
"Bisconti_et_Bosselaers_2016a" 629 1
"Bisconti_et_Bosselaers_2016a" 630 1
"Bisconti_et_Bosselaers_2016a" 631 1
"Bisconti_et_Bosselaers_2016a" 632 1
"Bisconti_et_Bosselaers_2016a" 633 1
"Bisconti_et_Bosselaers_2016a" 634 1
"Bisconti_et_Bosselaers_2016a" 635 1
"Bisconti_et_Bosselaers_2016a" 636 1
"Bisconti_et_Bosselaers_2016a" 637 1
"Bisconti_et_Bosselaers_2016a" 638 1
"Bisconti_et_Bosselaers_2016a" 639 1
"Bisconti_et_Bosselaers_2016a" 640 1
"Bisconti_et_Bosselaers_2016a" 641 1
"Bisconti_et_Bosselaers_2016a" 642 1
"Bisconti_et_Bosselaers_2016a" 643 1
"Bisconti_et_Bosselaers_2016a" 644 1
"Bisconti_et_Bosselaers_2016a" 645 1
"Bisconti_et_Bosselaers_2016a" 646 1
"Bisconti_et_Bosselaers_2016a" 647 1
"Bisconti_et_Bosselaers_2016a" 648 1
"Bisconti_et_Bosselaers_2016a" 649 1
"Bisconti_et_Bosselaers_2016a" 650 1
"Bisconti_et_Bosselaers_2016a" 651 1
"Bisconti_et_Bosselaers_2016a" 652 1
"Bisconti_et_Bosselaers_2016a" 653 1
"Bisconti_et_Bosselaers_2016a" 654 1
"Bisconti_et_Bosselaers_2016a" 655 1
"Bisconti_et_Bosselaers_2016a" 656 1
"Bisconti_et_Bosselaers_2016a" 657 1
"Bisconti_et_Bosselaers_2016a" 658 1
"Bisconti_et_Bosselaers_2016a" 659 1
