generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
8250000,3,-1.25758,-3832.35,1.87232,0.620166,0.2404
8300000,1,0.125491,-3844.79,0.211085,0.61503,0.2362
8350000,2,-0.521326,-3842.57,0.817359,0.599383,0.2052
8400000,2,0.290515,-3839.81,0.616791,0.636581,0.2437
8450000,1,-0.293184,-3846.66,0.587019,0.595057,0.2153
8500000,2,-1.61376,-3833.1,2.427,0.615448,0.24455
8550000,2,-0.705706,-3834.82,1.59419,0.594426,0.247178
8600000,2,-2.46421,-3834.51,3.39265,0.608652,0.2462
8650000,4,-0.830836,-3836.36,1.2702,0.58651,0.24405
8700000,2,-0.101817,-3837.25,0.957471,0.586919,0.2289
8750000,1,-0.318906,-3845.15,0.726463,0.626926,0.208233
8800000,2,0.256553,-3837.77,0.713508,0.626298,0.24195
8850000,2,-0.15582,-3836.09,1.18635,0.623613,0.2484
8900000,2,-0.0417697,-3835.47,0.923192,0.609701,0.2286
8950000,1,-0.53882,-3845.98,0.84579,0.594049,0.213933
9000000,2,-1.19513,-3834.27,2.09665,0.611257,0.238
9050000,1,0.0663828,-3848.05,0.374363,0.593931,0.216186
9100000,2,-1.44188,-3834.78,2.33012,0.583798,0.2409
9150000,2,-2.25932,-3840.67,2.97515,0.603798,0.24805
9200000,3,0.596302,-3830.84,0.708464,0.610708,0.242
9250000,2,-1.6267,-3834.63,2.55433,0.603995,0.2318
9300000,2,0.0616808,-3833.21,0.89792,0.62473,0.2485
9350000,1,-1.89043,-3850.92,2.373,0.579484,0.255325
9400000,3,-2.12919,-3831.97,2.9148,0.624645,0.2261
9450000,2,-0.946942,-3833.05,1.89945,0.587026,0.2373
9500000,2,-0.337662,-3833.01,1.12219,0.6001,0.24
9550000,2,-0.649814,-3838.65,1.45447,0.614123,0.247825
9600000,1,-0.477461,-3852.53,0.757944,0.586232,0.236125
9650000,4,-2.09535,-3828.68,2.42654,0.617096,0.2309
9700000,1,-0.810585,-3847.33,1.18192,0.593611,0.214725
9750000,2,-0.823889,-3833.73,1.66609,0.637764,0.243133
9800000,1,-0.784276,-3848.77,1.14592,0.612516,0.215471
9850000,2,0.00612227,-3833.45,0.933976,0.607358,0.244125
9900000,2,-0.0994836,-3837.38,1.00475,0.634807,0.2371
9950000,2,-0.974004,-3834.83,1.78419,0.643985,0.235133
10000000,2,0.736974,-3832.41,0.238478,0.585833,0.256411
10050000,2,-1.45576,-3833.87,2.26735,0.610729,0.238871
10100000,3,-0.799298,-3833.13,1.43803,0.623952,0.2422
10150000,2,-2.21373,-3831.88,3.11467,0.616198,0.2407
10200000,3,0.175001,-3832.99,0.696836,0.616287,0.2408
10250000,2,-0.178617,-3834.57,0.924118,0.605938,0.24735
10300000,2,-1.51402,-3833.45,2.42226,0.632207,0.24024
10350000,2,-1.36741,-3832.44,2.2889,0.611072,0.24625
10400000,2,-0.520862,-3836.2,1.44364,0.644524,0.246875
10450000,2,-0.568267,-3833.1,1.52023,0.611704,0.244583
10500000,2,0.233496,-3833.42,0.686495,0.582069,0.24498
10550000,2,-1.3042,-3839.26,2.21537,0.624114,0.246136
10600000,2,-0.0857415,-3834,1.0259,0.569206,0.24605
10650000,2,0.125151,-3837.25,0.647192,0.595016,0.2401
10700000,2,-0.248924,-3831.07,1.12072,0.603582,0.2486
10750000,2,0.0710345,-3833.6,0.772297,0.584409,0.2393
10800000,2,-0.169724,-3836.34,1.19342,0.643103,0.23608
10850000,2,-0.286449,-3834.64,1.27859,0.622636,0.245967
10900000,2,0.269144,-3834.47,0.637393,0.627049,0.2359
10950000,2,0.225639,-3836.52,0.640066,0.626935,0.2474
11000000,2,-1.85817,-3834.29,2.83607,0.621626,0.242053
11050000,2,-2.02781,-3836.2,2.9907,0.627829,0.24705
11100000,2,-0.0856157,-3836.1,0.9088,0.613349,0.24715
11150000,4,-3.31286,-3831.5,3.62311,0.608941,0.2363
11200000,4,-0.060882,-3830.03,1.6527,0.616267,0.2441
11250000,2,-1.15945,-3834.1,2.18683,0.60856,0.2277
11300000,3,-0.774398,-3830.61,2.15917,0.584721,0.240537
11350000,2,0.457081,-3833.16,0.40462,0.596491,0.238467
11400000,2,0.153526,-3837.62,0.854287,0.623513,0.24385
11450000,3,-5.01126,-3831.74,6.00953,0.624978,0.243225
11500000,2,-0.302813,-3833.44,1.27395,0.613394,0.246917
11550000,2,-0.791888,-3832.26,1.72941,0.610637,0.2465
11600000,2,-1.79155,-3831.92,2.71574,0.603261,0.249757
11650000,2,-1.25605,-3845.73,0.345729,0.64924,0.218557
11700000,1,-0.571769,-3848.24,0.936015,0.589047,0.22744
11750000,2,0.00611694,-3833.36,0.844204,0.598817,0.2344
11800000,2,-0.439623,-3835.32,1.36577,0.613652,0.2491
11850000,3,-1.34209,-3833.03,2.05968,0.605055,0.2423
11900000,2,-1.39748,-3833.39,2.36826,0.634086,0.239033
11950000,2,-0.727956,-3839.26,1.47018,0.614454,0.240733
12000000,2,-1.10639,-3835.25,1.94798,0.596514,0.249933
12050000,3,-0.190676,-3833.34,1.55289,0.596668,0.2409
12100000,2,-0.320499,-3832.96,1.19116,0.606228,0.24145
12150000,1,-1.47378,-3846.09,1.81379,0.592212,0.220809
12200000,2,-0.78298,-3834.34,1.70629,0.614222,0.24
12250000,2,-0.714176,-3832.55,1.63827,0.61787,0.2373
12300000,2,-0.361116,-3847.35,0.989127,0.574339,0.217988
12350000,1,0.0058901,-3845.91,0.334567,0.62369,0.2171
12400000,1,-0.231257,-3845.04,0.56853,0.595476,0.205833
12450000,1,-0.290125,-3843.92,0.697923,0.60662,0.207633
12500000,2,-0.179821,-3833,1.0972,0.586647,0.2402
12550000,2,-0.129628,-3834.24,1.0211,0.583329,0.2463
12600000,3,-2.08324,-3835.77,2.42181,0.582958,0.23595
12650000,2,-0.516982,-3831.17,1.44192,0.606682,0.2386
12700000,2,-0.680242,-3834.24,1.67128,0.609791,0.245927
12750000,4,0.12741,-3833.51,0.931864,0.637416,0.246025
12800000,2,-1.712,-3832.66,2.61209,0.61002,0.2439
12850000,2,-0.262477,-3835.76,1.08387,0.614506,0.2392
12900000,2,-0.179048,-3833.18,1.17868,0.589052,0.2423
12950000,2,-0.359772,-3849.2,1.11281,0.58913,0.26425
13000000,2,-1.74756,-3834.36,2.57797,0.640495,0.240075
13050000,2,0.0598666,-3832.48,0.836702,0.615962,0.241267
13100000,4,-0.894288,-3834.09,1.40269,0.626203,0.247925
13150000,2,-0.141729,-3833.61,0.972389,0.604914,0.2437
13200000,2,0.467207,-3834.38,0.524269,0.610434,0.23995
13250000,2,0.678488,-3835.39,0.233452,0.599137,0.23845
13300000,2,-1.00096,-3840.02,1.8826,0.610759,0.24742
13350000,2,0.19245,-3834.4,0.650162,0.613829,0.2415
13400000,2,-0.122237,-3832.49,0.985379,0.597364,0.2443
13450000,3,-1.12462,-3833.69,2.59893,0.61731,0.23834
13500000,2,-1.14841,-3834.08,2.02653,0.615932,0.246567
13550000,2,0.0863525,-3834.05,0.732418,0.600001,0.246833
13600000,2,-0.701151,-3834.45,1.51928,0.591042,0.242525
13650000,2,-0.731218,-3832.07,1.5935,0.613388,0.24846
13700000,2,0.0970619,-3832.07,0.900464,0.601741,0.249683
13750000,2,-2.10284,-3832.28,3.06222,0.599555,0.24354
13800000,2,-0.916105,-3833.93,1.86312,0.597643,0.244
13850000,2,-0.106724,-3831.92,1.04615,0.595457,0.2343
13900000,2,-1.88114,-3833.39,2.70392,0.597083,0.244233
13950000,2,-1.47615,-3834.69,2.38068,0.639667,0.2478
14000000,1,-0.0879968,-3848.19,0.485562,0.636656,0.221407
14050000,2,-1.65288,-3832.49,2.61439,0.618813,0.239667
14100000,3,-0.600141,-3831.23,1.86677,0.590916,0.24895
14150000,2,-0.725418,-3833.16,1.61711,0.606886,0.24245
14200000,2,-0.469796,-3832.67,1.40355,0.62891,0.24585
14250000,2,-0.203894,-3832.21,1.1654,0.611371,0.2415
14300000,3,-0.581008,-3833.11,1.68185,0.594351,0.2375
14350000,3,-0.3822,-3831.65,1.35297,0.61155,0.214567
14400000,2,0.281956,-3840.19,0.489605,0.631893,0.2229
14450000,2,0.690486,-3838.01,0.12465,0.594196,0.2498
14500000,2,-1.0423,-3836.15,1.95577,0.62298,0.24622
14550000,2,-0.305895,-3832.73,1.29251,0.610917,0.2448
14600000,2,0.285601,-3832.54,0.698062,0.590095,0.2376
14650000,2,0.537946,-3833.16,0.289346,0.589497,0.2433
14700000,2,0.34876,-3834.47,0.518815,0.602619,0.245
14750000,2,-0.518675,-3832.27,1.44724,0.597662,0.24308
14800000,1,-1.76855,-3847.9,2.11732,0.638675,0.22815
14850000,1,-1.22988,-3844.06,1.61659,0.624805,0.21634
14900000,3,-1.36549,-3838.76,2.43258,0.62964,0.262833
14950000,2,-1.66662,-3833.84,2.57969,0.626393,0.2363
15000000,1,-1.05796,-3847.69,1.53646,0.629174,0.2488
15050000,2,-1.6075,-3835.03,2.54279,0.609593,0.2485
15100000,2,-1.74261,-3833.69,2.73942,0.592965,0.2272
15150000,2,-0.384045,-3832.54,1.2247,0.628743,0.2372
