generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
8580000,Mesoplodon_grayi,Chimuziphius_coloradensis,10.8859,0.184464,0,0.0862759,0
8580000,Delphinus_capensis,Eodelphinus_kabatensis,20.2129,0.216796,0,0.0425157,0
8590000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.202182,0,0.178798,0
8590000,Delphinus_capensis,Leucopleurus_acutus,21.1756,0.193356,0,0.0487499,0
8600000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.236603,0,0.18097,0
8600000,Tohoraata_waitakiensis,Micromysticetus_rothauseni,5.78367,0.454215,0,0.475646,0
8600000,Delphinus_capensis,Eodelphinus_kabatensis,20.1525,0.161215,0,0.0625976,0
8610000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.199204,0,0.184306,0
8610000,Mesoplodon_grayi,Indopacetus_pacificus,24.2713,0.265396,0,0.0163341,0
8610000,Delphinus_capensis,Eodelphinus_kabatensis,20.0768,0.18727,0,0.0350345,0
8620000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.221907,0,0.190537,0
8620000,Cotylocara_macei,Ashleycetus_planicapitis,4.15892,0.251713,0,0.350035,0
8620000,Delphinus_capensis,Orcinus_orca,20.9476,0.198889,0,0.0286505,0
8630000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.219049,0,0.195524,0
8630000,Tohoraata_waitakiensis,Micromysticetus_rothauseni,5.90491,0.211745,0,0.419878,0
8630000,Mesoplodon_grayi,Khoikhoicetus_agulhasis,21.1764,0.178997,0,0.0411424,0
8630000,Delphinus_capensis,Orcinus_orca,20.8387,0.202541,0,0.0416425,0
8640000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.190783,0,0.166272,0
8640000,Delphinus_capensis,Eodelphinus_kabatensis,19.9464,0.157704,0,0.0629348,0
8650000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.215779,0,0.183862,0
