"Character" "Weight"
"Bisconti_2008a" 455 17.69
"Bisconti_2008a" 456 17.69
"Bisconti_2008a" 457 17.69
"Bisconti_2008a" 458 17.69
"Bisconti_2008a" 459 17.69
"Bisconti_2008a" 460 17.69
"Bisconti_2008a" 461 17.69
"Bisconti_2008a" 462 17.69
"Bisconti_2008a" 463 17.69
"Bisconti_2008a" 464 17.69
"Bisconti_2008a" 465 13.85
"Bisconti_2008a" 466 17.69
"Bisconti_2008a" 467 17.69
"Bisconti_2008a" 468 17.69
"Bisconti_2008a" 469 17.69
"Bisconti_2008a" 470 17.69
"Bisconti_2008a" 471 17.69
"Bisconti_2008a" 472 17.69
"Bisconti_2008a" 473 17.69
"Bisconti_2008a" 474 11.54
"Bisconti_2008a" 475 11.54
"Bisconti_2008a" 476 17.69
"Bisconti_2008a" 477 17.69
"Bisconti_2008a" 478 17.69
"Bisconti_2008a" 479 17.69
"Bisconti_2008a" 480 17.69
"Bisconti_2008a" 481 17.69
"Bisconti_2008a" 482 17.69
"Bisconti_2008a" 483 17.69
"Bisconti_2008a" 484 17.69
"Bisconti_2008a" 485 11.54
"Bisconti_2008a" 486 13.85
"Bisconti_2008a" 487 17.69
"Bisconti_2008a" 488 11.54
"Bisconti_2008a" 489 11.54
"Bisconti_2010a" 490 17.71
"Bisconti_2010a" 491 25.43
"Bisconti_2010a" 492 25.43
"Bisconti_2010a" 493 25.43
"Bisconti_2010a" 494 25.43
"Bisconti_2010a" 495 25.43
"Bisconti_2010a" 496 25.43
"Bisconti_2010a" 497 25.43
"Bisconti_2010a" 498 25.43
"Bisconti_2010a" 499 25.43
"Bisconti_2010a" 500 25.43
"Bisconti_2010a" 501 25.43
"Bisconti_2010a" 502 25.43
"Bisconti_2010a" 503 25.43
"Bisconti_2010a" 504 25.43
"Bisconti_2010a" 505 25.43
"Bisconti_2010a" 506 25.43
"Bisconti_2010a" 507 25.43
"Bisconti_2010a" 508 25.43
"Bisconti_2010a" 509 25.43
"Bisconti_2010a" 510 25.43
"Bisconti_2010a" 511 25.43
"Bisconti_2010a" 512 25.43
"Bisconti_2010a" 513 15.14
"Bisconti_2010a" 514 25.43
"Bisconti_2010a" 515 25.43
"Bisconti_2010a" 516 25.43
"Bisconti_2010a" 517 25.43
"Bisconti_2010a" 518 25.43
"Bisconti_2010a" 519 25.43
"Bisconti_2010a" 520 25.43
"Bisconti_2010a" 521 25.43
"Bisconti_2010a" 522 17.71
"Bisconti_2010a" 523 25.43
"Bisconti_2010a" 524 25.43
"Bisconti_2010a" 525 25.43
"Bisconti_2010a" 526 25.43
"Bisconti_2010a" 527 25.43
"Bisconti_2010a" 528 25.43
"Bisconti_2010a" 529 25.43
"Bisconti_2010a" 530 25.43
"Bisconti_2010a" 531 25.43
"Bisconti_2010a" 532 25.43
"Bisconti_2010a" 533 25.43
"Bisconti_2010a" 534 25.43
"Bisconti_2010a" 535 25.43
"Bisconti_2010a" 536 17.71
"Bisconti_2010a" 537 15.14
"Bisconti_2010a" 538 15.14
"Bisconti_2010a" 539 17.71
"Bisconti_2015a" 540 97.47
"Bisconti_2015a" 541 184.94
"Bisconti_2015a" 542 184.94
"Bisconti_2015a" 543 184.94
"Bisconti_2015a" 544 184.94
"Bisconti_2015a" 545 184.94
"Bisconti_2015a" 546 184.94
"Bisconti_2015a" 547 184.94
"Bisconti_2015a" 548 184.94
"Bisconti_2015a" 549 184.94
"Bisconti_2015a" 550 184.94
"Bisconti_2015a" 551 184.94
"Bisconti_2015a" 552 184.94
"Bisconti_2015a" 553 184.94
"Bisconti_2015a" 554 184.94
"Bisconti_2015a" 555 184.94
"Bisconti_2015a" 556 34.99
"Bisconti_2015a" 557 184.94
"Bisconti_2015a" 558 184.94
"Bisconti_2015a" 559 184.94
"Bisconti_2015a" 560 184.94
"Bisconti_2015a" 561 39.16
"Bisconti_2015a" 562 34.99
"Bisconti_2015a" 563 184.94
"Bisconti_2015a" 564 184.94
"Bisconti_2015a" 565 24.58
"Bisconti_2015a" 566 24.58
"Bisconti_2015a" 567 24.58
"Bisconti_2015a" 568 39.16
"Bisconti_2015a" 569 44.99
"Bisconti_2015a" 570 34.99
"Bisconti_2015a" 571 53.73
"Bisconti_2015a" 572 184.94
"Bisconti_2015a" 573 184.94
"Bisconti_2015a" 574 184.94
"Bisconti_2015a" 575 184.94
"Bisconti_2015a" 576 184.94
"Bisconti_2015a" 577 184.94
"Bisconti_2015a" 578 184.94
"Bisconti_2015a" 579 184.94
"Bisconti_2015a" 580 184.94
"Bisconti_2015a" 581 184.94
"Bisconti_2015a" 582 184.94
"Bisconti_2015a" 583 184.94
"Bisconti_2015a" 584 39.16
"Bisconti_2015a" 585 184.94
"Bisconti_2015a" 586 39.16
"Bisconti_2015a" 587 184.94
