generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
6000000,2,0.327125,-3836.07,0.462012,0.57295,0.24375
6050000,2,-1.02611,-3833.73,1.99013,0.621611,0.229318
6100000,3,-1.69847,-3834.25,1.92082,0.611459,0.2314
6150000,2,-0.383401,-3838.11,1.26373,0.605519,0.2382
6200000,2,0.751432,-3836.42,0.118969,0.615724,0.2403
6250000,2,-2.77677,-3837.13,3.75624,0.617163,0.23955
6300000,2,-2.99163,-3831.3,3.8946,0.599208,0.2415
6350000,3,-2.12347,-3834.47,2.0416,0.593197,0.2394
6400000,2,-0.351602,-3834.24,1.22801,0.614877,0.2445
6450000,2,-0.751372,-3834.66,1.7175,0.590687,0.2445
6500000,2,0.443067,-3836.18,0.350846,0.612638,0.2317
6550000,2,-1.9243,-3833.28,2.87899,0.587002,0.2458
6600000,2,-0.0614494,-3831.93,0.94997,0.625779,0.2422
6650000,2,-2.2797,-3833.25,3.07245,0.610701,0.2335
6700000,2,-1.53568,-3834.99,2.48905,0.60351,0.2471
6750000,2,0.24676,-3832.19,0.65182,0.610307,0.2399
6800000,2,-0.590112,-3834.06,1.54387,0.617309,0.23935
6850000,2,0.603713,-3831.71,0.322909,0.599541,0.2334
6900000,2,-0.659979,-3833.71,1.6531,0.605817,0.23705
6950000,2,-0.704034,-3833.69,1.63113,0.600864,0.246363
7000000,3,-2.88689,-3834.2,4.41336,0.620055,0.239533
7050000,2,-0.495595,-3831.1,1.36506,0.608878,0.2456
7100000,1,-0.119044,-3848.92,0.550888,0.583479,0.254475
7150000,2,0.369384,-3836.56,0.441655,0.616699,0.2328
7200000,1,-0.0937129,-3845.97,0.457402,0.614767,0.2162
7250000,3,-1.64223,-3836.05,1.46489,0.607258,0.24175
7300000,2,-1.67729,-3837.38,2.49359,0.623815,0.2389
7350000,2,0.168449,-3834.08,0.63197,0.60956,0.24145
7400000,1,-0.339929,-3843.67,0.72547,0.597765,0.2172
7450000,1,-0.180827,-3847.65,0.496778,0.595665,0.21235
7500000,1,-2.07734,-3844.61,2.46987,0.61524,0.21375
7550000,1,-0.620384,-3844.3,1.02657,0.618737,0.208
7600000,2,0.488043,-3833.47,0.356557,0.589902,0.24155
7650000,1,-1.22669,-3847.69,1.522,0.606062,0.215175
7700000,2,0.167619,-3838.06,0.65482,0.611654,0.2146
7750000,2,-1.98176,-3833.72,2.85111,0.626277,0.23585
7800000,2,0.224415,-3832.12,0.689707,0.585299,0.2369
7850000,2,0.109427,-3834.27,0.729075,0.600545,0.2372
7900000,2,0.126518,-3831.94,0.766165,0.59663,0.2428
7950000,2,0.73884,-3831.75,0.151486,0.624671,0.2284
8000000,1,-1.82339,-3845.61,2.25989,0.610129,0.212433
8050000,2,0.00476083,-3834.12,0.849743,0.584976,0.2427
8100000,2,-0.542724,-3841.74,1.19471,0.623579,0.2521
8150000,2,-0.147304,-3836.91,1.01193,0.609612,0.2383
8200000,2,-0.155172,-3834.82,1.03464,0.601753,0.2428
8250000,2,-0.701669,-3834.54,1.59464,0.648793,0.2469
8300000,2,0.311095,-3838.77,0.527028,0.573,0.243533
8350000,2,-0.800822,-3837.89,1.69877,0.555013,0.2428
8400000,2,-0.18119,-3832.71,1.07712,0.636176,0.2406
8450000,2,-2.55048,-3832.76,3.44824,0.61574,0.237067
8500000,3,-0.5265,-3832.11,1.21917,0.601429,0.2438
8550000,3,-0.449403,-3835.63,1.06428,0.637822,0.24835
8600000,2,-0.232475,-3832.88,1.08559,0.596385,0.2299
8650000,2,-0.667894,-3833.21,1.54043,0.629641,0.2282
8700000,1,-0.660057,-3847.81,0.989108,0.570344,0.229114
8750000,1,-1.51876,-3844.86,1.89608,0.627607,0.21364
8800000,1,-0.329509,-3846.32,0.67107,0.586136,0.2033
8850000,2,-0.208335,-3832,1.11238,0.610641,0.22608
8900000,2,0.0809498,-3832.84,0.754793,0.608252,0.2357
8950000,2,-1.2488,-3834.2,2.08373,0.613613,0.223112
9000000,3,-1.96865,-3832.93,3.28797,0.601773,0.2404
9050000,2,-0.130787,-3833.66,1.09198,0.605034,0.2349
9100000,2,-2.48561,-3831.94,3.36735,0.604829,0.2325
9150000,2,-0.238579,-3835.37,1.13055,0.639096,0.2496
9200000,2,0.422787,-3834.21,0.476768,0.601104,0.242033
9250000,2,0.199106,-3833.19,0.653539,0.612113,0.238967
9300000,2,-1.56306,-3835.67,2.3645,0.637837,0.2394
9350000,3,-1.75652,-3833.29,3.10971,0.581453,0.23865
9400000,2,0.259107,-3846.39,0.406757,0.584507,0.21335
9450000,2,0.420385,-3831.23,0.476484,0.599569,0.226
9500000,2,-0.890542,-3834.7,1.7169,0.603139,0.2372
9550000,2,-0.612215,-3834.89,1.39182,0.616087,0.2451
9600000,2,-0.996826,-3838.07,1.84685,0.612749,0.2408
9650000,2,-0.244275,-3835.69,1.07528,0.640122,0.2287
9700000,1,-0.209301,-3846.7,0.595384,0.589475,0.213475
9750000,2,-0.0271061,-3834.28,1.02163,0.592353,0.239933
9800000,1,0.19601,-3843.59,0.182857,0.619227,0.245796
9850000,1,-0.404911,-3843.91,0.774774,0.596024,0.216262
9900000,1,-0.499753,-3847,0.860109,0.602182,0.2105
9950000,1,-1.46798,-3846.65,1.89203,0.641818,0.2158
10000000,1,0.309246,-3844.9,0.0456439,0.601665,0.21014
10050000,2,0.0198886,-3833.1,0.934209,0.621423,0.232433
10100000,2,-1.3287,-3838.09,2.28855,0.574726,0.2417
10150000,2,0.307361,-3832.57,0.607267,0.621681,0.2444
10200000,2,-1.73942,-3835.59,2.65417,0.575579,0.244025
10250000,2,-1.09674,-3832.58,2.00661,0.610965,0.2283
10300000,3,-3.40995,-3834.97,4.17502,0.617277,0.2314
10350000,2,-0.372057,-3834.28,1.21147,0.628326,0.2384
10400000,2,0.177914,-3833.8,0.85269,0.612054,0.22675
10450000,2,0.276812,-3831.32,0.618788,0.607495,0.2545
10500000,2,-1.09222,-3832.08,2.01425,0.629709,0.239
10550000,2,-0.916231,-3836.88,1.64534,0.594559,0.2473
10600000,2,-1.15153,-3835.51,2.13109,0.599157,0.2464
10650000,2,-0.829121,-3834.26,1.64648,0.638244,0.2324
10700000,3,-1.50765,-3833.13,2.49877,0.606352,0.2323
10750000,2,-0.42002,-3832.8,1.3454,0.583811,0.237
10800000,1,-0.360396,-3845.87,0.673828,0.600434,0.213275
10850000,2,0.380802,-3834.5,0.426632,0.624061,0.2422
10900000,2,0.196879,-3831.48,0.727639,0.603005,0.24405
10950000,2,-0.947695,-3834.73,1.88481,0.641324,0.2344
11000000,4,-0.0896377,-3829.36,1.69983,0.608201,0.2493
11050000,2,-0.491591,-3834.58,1.31174,0.603217,0.23815
11100000,2,-1.00373,-3836.41,1.79988,0.587232,0.2313
